street,city,state,zipcode,latitude,longitude,license,expiration
43246 Deer Canyon Rd,Big Bear Lake,CA,92315,34.2326818,-116.8586447,BCA-103850,8/12/2021
42350 Heavenly Valley Rd,Big Bear Lake,CA,92315,34.2401209,-116.8782425,BCA-104593,12/3/2021
744 Summit Blvd,Big Bear Lake,CA,92315,34.2387847,-116.8888031,BCA-105028,2/13/2022
42739 Haupstrasse Dr,Big Bear Lake,CA,92315,34.2441754,-116.8697601,BCA-104984,2/20/2022
168 Teakwood Dr,Big Bear Lake,CA,92315,34.2491679,-116.8698455,BCA-105231,3/6/2022
42456 Avalon Rd,Big Bear Lake,CA,92315,34.2452432,-116.8759883,BCA-104105,10/28/2021
1298 Balsam Dr,Big Bear Lake,CA,92315,34.2286909,-116.8642776,BCA-103404,10/3/2021
803 Peninsula Ln,Big Bear Lake,CA,92315,34.2385682,-116.9524259,BCA-104279,11/10/2021
41023 Pennsylvania Ave,Big Bear Lake,CA,92315,34.2390265,-116.9072061,BCA-102500,5/28/2021
41058 Pennsylvania Ave,Big Bear Lake,CA,92315,34.2393959,-116.9063665,BCA-102835,6/19/2021
42646 Peregrine Ave,Big Bear Lake,CA,92315,34.2389858,-116.871742,BCA-105230,3/9/2022
1285 Pigeon Rd,Big Bear Lake,CA,92315,34.2290556,-116.8626441,BCA-104174,12/20/2021
791 Pine Knot Ave,Big Bear Lake,CA,92315,34.2381673,-116.9110592,BCA-104050,10/23/2021
42752 La Placida Ave,Big Bear Lake,CA,92315,34.2383261,-116.8694544,BCA-104316,11/13/2021
43121 Plymouth Rd,Big Bear,CA,92314,34.237346,-116.8615627,BCA-104152,8/26/2021
562 Ponderosa Dr,Boulder,CO,80303,39.9821398,-105.1724522,BCA-104205,11/30/2021
179 Finch Dr,Big Bear Lake,CA,92315,34.25227539999999,-116.9024214,BCA-102966,8/8/2021
231 Finch Dr,Big Bear Lake,CA,92315,34.248463,-116.899234,BCA-104374,12/5/2021
248 Finch Dr,Big Bear Lake,CA,92315,34.2479995,-116.8993849,BCA-104136,12/21/2021
39656 Forest Rd,Big Bear Lake,CA,92315,34.248565,-116.936771,BCA-103996,11/7/2021
39736 Forest Rd,Big Bear Lake,CA,92315,34.2481173,-116.9349809,BCA-103347,8/24/2021
39991 Forest Rd,Big Bear Lake,CA,92315,34.2453166,-116.9298402,BCA-102620,7/18/2021
40078 Forest Rd,Big Bear Lake,CA,92315,34.2418004,-116.9271721,BCA-102833,6/29/2021
40080 Francis Way,Big Bear Lake,CA,92315,34.2497172,-116.9274021,BCA-105221,2/18/2022
41821 Garstin Dr,Big Bear Lake,CA,92315,34.2465653,-116.890275,BCA-104423,11/18/2021
41732 Tanager Dr,Big Bear Lake,CA,92315,34.2468105,-116.8915403,BCA-102968,8/10/2021
481 Tavern Ln,Big Bear Lake,CA,92315,34.244062,-116.933156,BCA-105008,3/11/2022
730 Tayles Point Rd,Big Bear Lake,CA,92315,34.2397094,-116.950494,BCA-102906,7/13/2021
737 Tehama Dr,Big Bear Lake,CA,92315,34.2390598,-116.864593,BCA-104341,11/16/2021
738 Tehama Dr,Big Bear,CA,92314,34.2386304,-116.8648298,BCA-104747,1/10/2022
744 Tehama Dr,Big Bear Lake,CA,92315,34.2383841,-116.8645077,BCA-103517,10/17/2021
783 Tehama Dr,Big Bear Lake,CA,92315,34.2381532,-116.8632653,BCA-103704,11/17/2021
477 Temple Ln,Big Bear Lake,CA,92315,34.2443076,-116.9242279,BCA-103529,10/1/2021
560 Temple Ln,Big Bear Lake,CA,92315,34.2424544,-116.9237219,BCA-102810,6/22/2021
683 Temple Ln,Big Bear Lake,CA,92315,34.2403008,-116.9231239,BCA-103738,10/19/2021
41181 Terrapin Rd,Big Bear Lake,CA,92315,34.236773,-116.9036176,BCA-104408,12/2/2021
1123 Teton Dr,Big Bear Lake,CA,92315,34.2317885,-116.8507456,BCA-104972,2/16/2022
1260 San Pasqual Dr,Big Bear Lake,CA,92315,34.22948700000001,-116.8488388,BCA-105389,4/19/2022
43550 San Pasqual Dr,Big Bear Lake,CA,92315,34.2293625,-116.8516344,BCA-104070,10/26/2021
43181 Sand Canyon Rd,Big Bear Lake,CA,92315,34.2323328,-116.8602742,BCA-103824,10/7/2021
43413 Sand Canyon Rd,Big Bear Lake,CA,92315,34.2332864,-116.8550283,BCA-103299,8/18/2021
43663 Sand Canyon Rd,Big Bear Lake,CA,92315,34.230161,-116.849421,BCA-104824,1/10/2022
43692 Sand Canyon Rd,Big Bear Lake,CA,92315,34.2303615,-116.8486317,BCA-102669,5/26/2021
43664 Sand Canyon Rd,Big Bear Lake,CA,92315,34.230596,-116.8492184,BCA-103126,7/30/2021
381 Santa Clara Blvd,Big Bear Lake,CA,92315,34.2452813,-116.8752291,BCA-104721,1/7/2022
432 Santa Clara Blvd,Big Bear Lake,CA,92315,34.2443534,-116.8759193,BCA-105138,2/5/2022
428 Shady Ln,Big Bear Lake,CA,92315,34.2448947,-116.9309443,BCA-103874,10/30/2021
470 Edgemoor Rd,Big Bear Lake,CA,92315,34.244012,-116.9319316,BCA-102654,6/26/2021
735 Edgemoor Rd,Big Bear Lake,CA,92315,34.2393505,-116.9304268,BCA-104534,11/30/2021
209 Elgin Rd,Fawnskin,CA,92333,34.2490008,-116.9372464,BCA-104158,11/22/2021
40171 Esterly Ln,Big Bear Lake,CA,92315,34.24069679999999,-116.9256655,BCA-104065,12/4/2021
40173 Esterly Ln,Big Bear Lake,CA,92315,34.2407608,-116.925608,BCA-104514,11/18/2021
145 Finch Dr,Big Bear Lake,CA,92315,34.2516694,-116.9016623,BCA-104246,10/30/2021
188 Eureka Dr,Big Bear Lake,CA,92315,34.2490092,-116.8992008,BCA-102771,6/29/2021
220 Eureka Dr,Big Bear Lake,CA,92373,34.2485316,-116.8986885,BCA-104322,10/8/2021
1322 Siskiyou Dr,Big Bear Lake,CA,92315,34.2282624,-116.8573751,BCA-104440,11/28/2021
42327 Snowcrest Dr,Big Bear Lake,CA,92315,34.2470929,-116.8788182,BCA-103246,8/14/2021
42118 Snowmass Ln,Big Bear Lake,CA,92315,34.2432619,-116.8832813,BCA-105442,3/16/2022
42648 Sonoma Dr,Big Bear Lake,CA,92315,34.2417365,-116.8718586,BCA-103101,8/4/2021
40355 Cliff Ln,Big Bear Lake,CA,92315,34.2408547,-116.9215929,BCA-103944,10/16/2021
751 St Moritz Dr,Big Bear Lake,CA,92315,34.2386186,-116.8910925,BCA-104579,11/17/2021
664 St Moritz Dr,Big Bear Lake,CA,92315,34.2402849,-116.8907811,BCA-103322,8/20/2021
371 Starlight Cir,Big Bear Lake,CA,92315,34.2544166,-116.8720082,BCA-102597,5/28/2021
440 Starlight Cir,Big Bear Lake,CA,92315,34.2570174,-116.8738717,BCA-104359,12/19/2021
160 Starvation Flats Rd,Big Bear Lake,CA,92315,34.2517112,-116.8795544,BCA-104189,11/24/2021
39122 Starview Ln,Big Bear Lake,CA,92315,34.2423619,-116.9484701,BCA-102877,7/6/2021
695 Cove Dr,Big Bear Lake,CA,92315,34.2407788,-116.9594173,BCA-103534,9/15/2021
791 Cove Dr,Big Bear Lake,CA,92315,34.2396007,-116.9560596,BCA-104889,12/11/2021
447 Crane Dr,Big Bear Lake,CA,92315,34.24447809999999,-116.8940018,BCA-103755,9/30/2021
268 Crater Lake Rd,Big Bear Lake,CA,92315,34.2474583,-116.874792,BCA-102615,7/6/2021
